path,text_hash,label,nll_small,nll_large,score_raw,y_score,pred,src,kind
/content/nlp_project/repos/ghostbuster/data/wp/gpt_writing/419.txt,68f8ad75b57af4c1153f43dc49a5ea9292b65c08,1,2.892523,2.920853,-0.028329,0.247979,1,GB-wp,ai
/content/nlp_project/repos/ghostbuster/data/wp/human/logprobs/920-ada.txt,2e3506263b0a557f62692f48ac91b114c06d0185,0,3.962878,4.182412,-0.219534,0.056775,1,GB-wp,human
/content/nlp_project/repos/ghostbuster/data/wp/claude/589.txt,1dbcfd074485e7e32a6670d73828c163f083a95a,1,2.492708,2.680556,-0.187847,0.088461,1,GB-wp,ai
/content/nlp_project/repos/ghostbuster/data/wp/claude/logprobs/120-davinci.txt,a9ab4d7d8774a04fe294b356af909411c722eedd,1,3.941524,4.167332,-0.225807,0.050501,1,GB-wp,ai
/content/nlp_project/repos/ghostbuster/data/wp/gpt_writing/logprobs/939-davinci.txt,276fe8d0bdc27ea17386489f85b9c980578d99f4,1,3.988328,4.232216,-0.243888,0.032421,1,GB-wp,ai
/content/nlp_project/repos/ghostbuster/data/wp/human/518.txt,704c80bc0f6a72cd517702b5805881244fe3996f,0,3.532864,3.630282,-0.097418,0.178891,1,GB-wp,human
/content/nlp_project/repos/ghostbuster/data/wp/gpt_writing/794.txt,fe8f68701b64163781a598f71611000150de3893,1,2.622552,2.695049,-0.072497,0.203811,1,GB-wp,ai
/content/nlp_project/repos/ghostbuster/data/wp/gpt_prompt1/344.txt,db01cf93a5d9605768914114d1c64a443cf865dd,1,3.219595,3.306757,-0.087162,0.189146,1,GB-wp,ai
/content/nlp_project/repos/ghostbuster/data/wp/claude/419.txt,91cb553e795859e8142c7897f9bf7b41d6193109,1,2.778474,2.874431,-0.095957,0.180352,1,GB-wp,ai
/content/nlp_project/repos/ghostbuster/data/wp/human/813.txt,0c91423cfa7572aeadfdaf2211614584fd503000,0,3.073723,3.260584,-0.186861,0.089447,1,GB-wp,human
/content/nlp_project/repos/ghostbuster/data/wp/human/796.txt,bbe19e054d9ce23da0164978459bdc3de916b763,0,3.425692,3.704914,-0.279222,-0.002914,0,GB-wp,human
/content/nlp_project/repos/ghostbuster/data/wp/gpt/logprobs/205-davinci.txt,8381a84c26dcc75ef18da34e7f6c45e513820c46,1,3.926487,4.188054,-0.261567,0.014742,1,GB-wp,ai
/content/nlp_project/repos/ghostbuster/data/wp/human/9.txt,985385c5aeeddf14a8c2f9819f70064263b37528,0,2.724295,2.953683,-0.229389,0.046920,1,GB-wp,human
/content/nlp_project/repos/ghostbuster/data/wp/gpt_prompt1/logprobs/352-ada.txt,934f034b099cbf18ed616b2509615132a3f9398c,1,3.889146,4.138119,-0.248973,0.027336,1,GB-wp,ai
/content/nlp_project/repos/ghostbuster/data/wp/gpt/684.txt,abdeb85ff242d1ed7c770f33c935fa9e2c17093d,1,2.854510,2.939691,-0.085180,0.191128,1,GB-wp,ai
/content/nlp_project/repos/ghostbuster/data/wp/human/logprobs/938-ada.txt,27bddd8d34dffbd824ee5d9a330064b4197a6242,0,3.872810,4.095411,-0.222602,0.053707,1,GB-wp,human
/content/nlp_project/repos/ghostbuster/data/wp/gpt_prompt1/955.txt,8e0fd2637ae58c8df94b2ce1788e6152ae15bd89,1,2.700737,2.748852,-0.048114,0.228194,1,GB-wp,ai
/content/nlp_project/repos/ghostbuster/data/wp/claude/logprobs/38-ada.txt,0a058106e667782fbad145e8d6fd5530fce3b8e5,1,3.960401,4.205857,-0.245456,0.030853,1,GB-wp,ai
/content/nlp_project/repos/ghostbuster/data/wp/gpt_prompt1/logprobs/372-ada.txt,dd2a9fd0c4eaf02a552302322178da26db731a49,1,3.911493,4.186438,-0.274945,0.001364,1,GB-wp,ai
/content/nlp_project/repos/ghostbuster/data/wp/claude/logprobs/843-davinci.txt,7b2c2663d652ac37f1994e5b2b4b70a09b93ecd0,1,3.973464,4.210282,-0.236818,0.039490,1,GB-wp,ai
/content/nlp_project/repos/ghostbuster/data/wp/human/logprobs/121-ada.txt,187fc73b58bdb2c53ebe9339a16896aba2cdd928,0,3.830771,4.062366,-0.231596,0.044713,1,GB-wp,human
/content/nlp_project/repos/ghostbuster/data/wp/human/logprobs/773-davinci.txt,1b7426ec5822212b66bfcce70d526b856bf76e8f,0,3.869464,4.080434,-0.210969,0.065339,1,GB-wp,human
/content/nlp_project/repos/ghostbuster/data/wp/gpt_semantic/logprobs/659-davinci.txt,9d8e0b693109b9d8d37f53c88ca576c56825d086,1,3.908197,4.162365,-0.254168,0.022140,1,GB-wp,ai
/content/nlp_project/repos/ghostbuster/data/wp/claude/168.txt,1671a058860ff15273fee083574ae28714a1715a,1,3.372947,3.552692,-0.179745,0.096564,1,GB-wp,ai
/content/nlp_project/repos/ghostbuster/data/wp/human/logprobs/930-davinci.txt,d3be8e8d3bc107136718252f4e41c6ed968788df,0,3.921971,4.158629,-0.236658,0.039650,1,GB-wp,human
/content/nlp_project/repos/ghostbuster/data/wp/human/logprobs/878-davinci.txt,2c92fb4ef8a1752dd312fbc4f4f2dc6b20d7da84,0,3.852033,4.085040,-0.233007,0.043301,1,GB-wp,human
/content/nlp_project/repos/ghostbuster/data/wp/human/logprobs/68-ada.txt,9c38a916621c4c18a88f53b2113cfa007f932d44,0,3.908562,4.153202,-0.244640,0.031669,1,GB-wp,human
/content/nlp_project/repos/ghostbuster/data/wp/human/logprobs/252-ada.txt,d166f5945879573e27f63fe381a5937a4794b138,0,3.845453,4.080640,-0.235187,0.041122,1,GB-wp,human
/content/nlp_project/repos/ghostbuster/data/wp/gpt_prompt2/logprobs/768-ada.txt,b4bd5813f6400ef8691d9646cf0bf3b63fd9a224,1,3.978043,4.215933,-0.237890,0.038419,1,GB-wp,ai
/content/nlp_project/repos/ghostbuster/data/wp/human/585.txt,906c29ad9face88decc93413569098a2bcf93228,0,2.679472,2.948394,-0.268922,0.007387,1,GB-wp,human
/content/nlp_project/repos/ghostbuster/data/wp/human/58.txt,683cd83eb5c80366bf8879e77f342f67db81dfb8,0,2.605172,2.803103,-0.197931,0.078378,1,GB-wp,human
/content/nlp_project/repos/ghostbuster/data/wp/gpt/logprobs/315-ada.txt,8f93c52d20dafb5f1c73e19201e566ec55cd9a11,1,3.936864,4.208974,-0.272110,0.004199,1,GB-wp,ai
/content/nlp_project/repos/ghostbuster/data/wp/human/736.txt,909b96b6bfdd41d6c3bf392eba48b2cf25415a6c,0,3.437500,3.688368,-0.250868,0.025441,1,GB-wp,human
/content/nlp_project/repos/ghostbuster/data/wp/gpt_prompt2/logprobs/416-davinci.txt,9292f32253e791989fc42261484b2c777b10e87b,1,3.913301,4.151016,-0.237715,0.038593,1,GB-wp,ai
/content/nlp_project/repos/ghostbuster/data/wp/human/324.txt,1c56de9e9e5dc9ba3ed4e27f85e0c0485c8b6d58,0,3.251633,3.428338,-0.176705,0.099603,1,GB-wp,human
/content/nlp_project/repos/ghostbuster/data/wp/gpt/759.txt,4f19401f5afdd6ef9cc7f1933d45723c3083632b,1,2.933208,2.967811,-0.034603,0.241706,1,GB-wp,ai
/content/nlp_project/repos/ghostbuster/data/wp/human/logprobs/865-davinci.txt,d0b41dbc66b1dc44e9281480d3ecc4b9dad3f2b1,0,3.903564,4.152710,-0.249146,0.027163,1,GB-wp,human
/content/nlp_project/repos/ghostbuster/data/wp/human/logprobs/614-davinci.txt,dce7e27afd22cce434832357892429506b90286b,0,3.936994,4.150203,-0.213209,0.063100,1,GB-wp,human
/content/nlp_project/repos/ghostbuster/data/wp/human/logprobs/492-ada.txt,50df71a8d93cf3377c358dbe37afb890b897bbf9,0,3.909642,4.150790,-0.241148,0.035161,1,GB-wp,human
/content/nlp_project/repos/ghostbuster/data/wp/human/428.txt,8369a123ce6bf1edd11c5fd6f91708b29b7e64ef,0,2.981124,3.176364,-0.195240,0.081069,1,GB-wp,human
/content/nlp_project/repos/ghostbuster/data/wp/human/logprobs/586-davinci.txt,2397dfdfdb1d210f813de05cf0f7ef5d249a0694,0,3.819967,4.063681,-0.243714,0.032594,1,GB-wp,human
/content/nlp_project/repos/ghostbuster/data/wp/human/logprobs/567-ada.txt,b3ff3444adab44a51dda50bee1052818dc4ddec3,0,3.838356,4.096404,-0.258048,0.018261,1,GB-wp,human
/content/nlp_project/repos/ghostbuster/data/wp/human/117.txt,46ae86c58518c812e8fff8c9fec263860c21fb7c,0,3.248792,3.479469,-0.230676,0.045632,1,GB-wp,human
/content/nlp_project/repos/ghostbuster/data/wp/gpt_semantic/logprobs/715-davinci.txt,58796da0d52f3b98d036eb1f47505e49ede064ed,1,3.929715,4.175701,-0.245986,0.030323,1,GB-wp,ai
/content/nlp_project/repos/ghostbuster/data/wp/gpt_semantic/logprobs/425-davinci.txt,76cd153c326ee5a661b3e4c21decb937a6b703b7,1,3.848793,4.090442,-0.241650,0.034659,1,GB-wp,ai
/content/nlp_project/repos/ghostbuster/data/wp/human/262.txt,a08b623a5e7cb7a5b19ac67ed34e3676c8c946db,0,3.561644,3.744292,-0.182648,0.093660,1,GB-wp,human
/content/nlp_project/repos/ghostbuster/data/wp/gpt_prompt2/logprobs/396-davinci.txt,5899ecfbd655d7f4db1944e292f72aa2976d223b,1,3.908141,4.161382,-0.253241,0.023068,1,GB-wp,ai
/content/nlp_project/repos/ghostbuster/data/wp/human/50.txt,0dcd3209b9a3da482463ca7258eec30bd2e5e9fc,0,3.970905,4.214440,-0.243534,0.032774,1,GB-wp,human
/content/nlp_project/repos/ghostbuster/data/wp/human/72.txt,2bdaae63b07cc1aec4d13b7a5a869e29bd754d04,0,3.375361,3.639784,-0.264423,0.011886,1,GB-wp,human
